county,state_name,base_2020,estimate_2022,pop_diff,pct_change_2020_2022
Maricopa County,Arizona,4420574,4551524,130950,2.962
Collin County,Texas,1066465,1158696,92231,8.648
Denton County,Texas,906405,977281,70876,7.819
Fort Bend County,Texas,822779,889146,66367,8.066
Williamson County,Texas,609010,671418,62408,10.247
Polk County,Florida,725041,787404,62363,8.601
Lee County,Florida,760820,822453,61633,8.101
Montgomery County,Texas,620451,678490,58039,9.354
Clark County,Nevada,2265469,2322985,57516,2.539
Riverside County,California,2418177,2473902,55725,2.304
Hillsborough County,Florida,1459773,1513301,53528,3.667
Bexar County,Texas,2009322,2059530,50208,2.499
Harris County,Texas,4731129,4780913,49784,1.052
Pasco County,Florida,561897,608794,46897,8.346
Wake County,North Carolina,1129393,1175021,45628,4.04
Tarrant County,Texas,2110608,2154595,43987,2.084
Utah County,Utah,659392,702434,43042,6.528
Pinal County,Arizona,425257,464154,38897,9.147
Travis County,Texas,1290209,1326436,36227,2.808
Osceola County,Florida,388664,422545,33881,8.717
St. Johns County,Florida,273427,306841,33414,12.22
Horry County,South Carolina,351028,383101,32073,9.137
Mecklenburg County,North Carolina,1115526,1145392,29866,2.677
St. Lucie County,Florida,329227,358704,29477,8.953
Manatee County,Florida,399705,429125,29420,7.36
Sarasota County,Florida,434005,462286,28281,6.516
Hays County,Texas,241066,269225,28159,11.681
Kaufman County,Texas,145303,172366,27063,18.625
Palm Beach County,Florida,1492198,1518477,26279,1.761
Lake County,Florida,383959,410139,26180,6.818
Volusia County,Florida,553561,579192,25631,4.63
Brevard County,Florida,606603,630693,24090,3.971
Ada County,Idaho,494964,518907,23943,4.837
Comal County,Texas,161482,184642,23160,14.342
Orange County,Florida,1429901,1452726,22825,1.596
Greenville County,South Carolina,525539,547950,22411,4.264
Collier County,Florida,375760,397994,22234,5.917
Weld County,Colorado,328976,350176,21200,6.444
Duval County,Florida,995560,1016536,20976,2.107
Marion County,Florida,375906,396415,20509,5.456
Canyon County,Idaho,231106,251065,19959,8.636
Ellis County,Texas,192441,212182,19741,10.258
Rutherford County,Tennessee,341481,360619,19138,5.604
Johnston County,North Carolina,215991,234778,18787,8.698
Sussex County,Delaware,237380,255956,18576,7.825
Benton County,Arkansas,284329,302863,18534,6.519
Ocean County,New Jersey,637229,655735,18506,2.904
Gwinnett County,Georgia,957027,975353,18326,1.915
Douglas County,Colorado,357998,375988,17990,5.025
Spartanburg County,South Carolina,328002,345831,17829,5.436
Bell County,Texas,370644,388386,17742,4.787
Parker County,Texas,148228,165834,17606,11.878
Hidalgo County,Texas,870796,888367,17571,2.018
Hamilton County,Indiana,347465,364921,17456,5.024
Washington County,Utah,180281,197680,17399,9.651
Brunswick County,North Carolina,136694,153064,16370,11.976
Brazoria County,Texas,372040,388181,16141,4.339
Forsyth County,Georgia,251283,267237,15954,6.349
Charlotte County,Florida,186850,202661,15811,8.462
Knox County,Tennessee,478981,494574,15593,3.255
Johnson County,Texas,179999,195506,15507,8.615
Madison County,Alabama,388160,403565,15405,3.969
Rockwall County,Texas,107832,123208,15376,14.259
